m;phi;c;r ;t;alpha;4;5;6;7
9.135099981;0.023714212;-0.952571575;0.411646;1;0.1256;;0.6;;7
7.910578524;0.085446091;-0.829107818;0.444592;2;0.2512;;;;
7.4174011;0.166247999;-0.667504001;0.494150;3;0.3768;;;;
7.222895438;0.251069409;-0.497861182;0.555234;4;0.5024;;;;
7.170995215;0.332277744;-0.335444511;0.623663;5;0.628;;;;
7.189635344;0.407210803;-0.185578395;0.696365;6;0.7536;;;;
7.242801962;0.475512338;-0.048975323;0.771154;7;0.8792;;;;
7.249202746;0.481993064;-0.036013872;0.778683;7.1;0.89176;;;;
7.255742236;0.488412724;-0.023174552;0.786216;7.2;0.90432;;;;
7.262408624;0.494771987;-0.010456026;0.793751;7.3;0.91688;;;;
7.26919081;0.501071529;0.002143058;0.801287;7.4;0.92944;;;;
7.276078362;0.50731203;0.01462406;0.808823;7.5;0.942;;;;
7.28306147;0.513494172;0.026988344;0.816357;7.6;0.95456;;;;
7.29013091;0.519618637;0.039237273;0.823889;7.7;0.96712;;;;
7.297278006;0.525686104;0.051372209;0.831417;7.8;0.97968;;;;
7.304494598;0.531697252;0.063394504;0.838940;7.9;0.99224;;;;
7.31177301;0.537652751;0.075305503;0.846458;8;1.0048;;;;
7.31910602;0.543553269;0.087106538;0.853969;8.1;1.01736;;;;
7.326486833;0.549399464;0.098798929;0.861473;8.2;1.02992;;;;
7.333909054;0.555191988;0.110383976;0.868967;8.3;1.04248;;;;
7.341366666;0.560931483;0.121862966;0.876452;8.4;1.05504;;;;
7.386560638;0.594289563;0.188579126;0.921109;9;1.1304;;;;
7.461750877;0.646034198;0.292068395;0.994210;10;1.256;;;;
7.534396736;0.693386747;0.386773494;1.065043;11;1.3816;;;;
7.602914008;0.736732898;0.473465796;1.133021;12;1.5072;;;;
7.666484562;0.776360363;0.552720727;1.197646;13;1.6328;;;;
7.724724989;0.812478801;0.624957601;1.258494;14;1.7584;;;;
7.777498221;0.845237853;0.690475707;1.315192;15;1.884;;;;
7.824804314;0.874741972;0.749483945;1.367417;16;2.0096;;;;
7.866716145;0.901062104;0.802124208;1.414883;17;2.1352;;;;
7.903341125;0.924244735;0.84848947;1.457343;18;2.2608;;;;
7.934798244;0.944318836;0.888637672;1.494579;19;2.3864;;;;
7.96120428;0.961301162;0.922602325;1.526408;20;2.512;;;;
7.982665551;0.975200291;0.950400582;1.552673;21;2.6376;;;;
7.999273007;0.986019663;0.972039326;1.573249;22;2.7632;;;;
8.011099373;0.993759844;0.987519689;1.588037;23;2.8888;;;;
8.018197512;0.998420153;0.996840305;1.596968;24;3.0144;;;;
8.020599537;0.999999752;0.999999505;1.600000;25;3.14;;;;
8.018316376;0.998498289;0.996996578;1.597118;26;3.2656;;;;
8.011337643;0.993916101;0.987832201;1.588336;27;3.3912;;;;
7.999631755;0.986254016;0.972508032;1.573696;28;3.5168;;;;
7.983146368;0.975512733;0.951025467;1.553266;29;3.6424;;;;
7.961809246;0.961691736;0.923383472;1.527143;30;3.768;;;;
7.935529869;0.94478768;0.889575361;1.495454;31;3.8936;;;;
7.904202263;0.924792154;0.849584308;1.458353;32;4.0192;;;;
7.867709827;0.901688654;0.803377308;1.416023;33;4.1448;;;;
7.825933488;0.875448579;0.750897159;1.368680;34;4.2704;;;;
7.778765308;0.846025965;0.692051931;1.316573;35;4.396;;;;
7.726131142;0.813350588;0.626701175;1.259984;36;4.5216;;;;
7.668028431;0.777318977;0.554637954;1.199238;37;4.6472;;;;
7.604589661;0.737782806;0.475565612;1.134703;38;4.7728;;;;
7.5361901;0.694534148;0.389068296;1.066804;39;4.8984;;;;
7.463633551;0.647287516;0.294575032;0.996037;40;5.024;;;;
7.388478904;0.595659944;0.191319887;0.922986;41;5.1496;;;;
7.313627823;0.539154343;0.078308686;0.848364;42;5.2752;;;;
7.24441144;0.477161714;-0.045676573;0.773063;43;5.4008;;;;
7.235037364;0.467348323;-0.065303354;0.761777;43.15;5.41964;;;;
7.226041658;0.457394246;-0.085211507;0.750505;43.3;5.43848;;;;
7.217473931;0.44729739;-0.10540522;0.739253;43.45;5.45732;;;;
7.209388701;0.437055777;-0.125888447;0.728025;43.6;5.47616;;;;
7.201845918;0.426667583;-0.146664834;0.716826;43.75;5.495;;;;
7.194911537;0.41613118;-0.16773764;0.705663;43.9;5.51384;;;;
7.188658161;0.405445183;-0.189109633;0.694541;44.05;5.53268;;;;
7.183165761;0.394608505;-0.210782989;0.683465;44.2;5.55152;;;;
7.178522479;0.383620422;-0.232759156;0.672443;44.35;5.57036;;;;
7.174825526;0.372480644;-0.255038711;0.661480;44.5;5.5892;;;;
7.172182191;0.361189402;-0.277621196;0.650585;44.65;5.60804;;;;
7.170710973;0.349747538;-0.300504925;0.639764;44.8;5.62688;;;;
7.170542852;0.338156615;-0.32368677;0.629024;44.95;5.64572;;;;
7.171822728;0.32641904;-0.34716192;0.618376;45.1;5.66456;;;;
7.174711033;0.314538196;-0.370923608;0.607825;45.25;5.6834;;;;
7.179385568;0.302518597;-0.394962807;0.597383;45.4;5.70224;;;;
7.186043578;0.290366055;-0.419267889;0.587059;45.55;5.72108;;;;
7.194904123;0.278087871;-0.443824257;0.576862;45.7;5.73992;;;;
7.206210777;0.265693035;-0.468613929;0.566803;45.85;5.75876;;;;
7.220234733;0.253192453;-0.493615094;0.556894;46;5.7776;;;;
7.237278383;0.240599185;-0.518801629;0.547145;46.15;5.79644;;;;
7.257679472;0.227928705;-0.54414259;0.537570;46.3;5.81528;;;;
7.281815948;0.215199167;-0.569601666;0.528182;46.45;5.83412;;;;
7.310111684;0.202431686;-0.595136627;0.518993;46.6;5.85296;;;;
7.343043272;0.189650623;-0.620698755;0.510018;46.75;5.8718;;;;
7.381148196;0.176883858;-0.646232284;0.501272;46.9;5.89064;;;;
7.425034766;0.164163062;-0.671673876;0.492770;47.05;5.90948;;;;
7.475394362;0.151523933;-0.696952135;0.484529;47.2;5.92832;;;;
7.533016758;0.139006394;-0.721987212;0.476563;47.35;5.94716;;;;
7.598809593;0.126654738;-0.746690523;0.468892;47.5;5.966;;;;
7.673823573;0.11451769;-0.77096462;0.461531;47.65;5.98484;;;;
7.759285699;0.102648368;-0.794703264;0.454499;47.8;6.00368;;;;
7.856643981;0.09110413;-0.81779174;0.447814;47.95;6.02252;;;;
7.892029806;0.08733878;-0.82532244;0.445666;48;6.0288;;;;
7.967628959;0.079946268;-0.840107463;0.441494;48.1;6.04136;;;;
8.050207615;0.072754204;-0.854491593;0.437492;48.2;6.05392;;;;
8.140503324;0.065782502;-0.868434996;0.433666;48.3;6.06648;;;;
8.239372749;0.059051533;-0.881896934;0.430021;48.4;6.07904;;;;
8.347821371;0.052581995;-0.894836009;0.426563;48.5;6.0916;;;;
8.467043394;0.046394778;-0.907210445;0.423295;48.6;6.10416;;;;
8.598476322;0.040510799;-0.918978402;0.420224;48.7;6.11672;;;;
8.74387716;0.034950837;-0.930098326;0.417354;48.8;6.12928;;;;
8.905431334;0.029735344;-0.940529312;0.414689;48.9;6.14184;;;;
9.085912686;0.024884248;-0.950231504;0.412235;49;6.1544;;;;
9.184335999;0.022601383;-0.954797233;0.411088;49.05;6.16068;;;;
9.288926132;0.020416749;-0.959166501;0.409995;49.1;6.16696;;;;
9.400325901;0.018332598;-0.963334803;0.408957;49.15;6.17324;;;;
9.519289992;0.016351111;-0.967297779;0.407973;49.2;6.17952;;;;
9.646713007;0.014474388;-0.971051225;0.407045;49.25;6.1858;;;;
9.78366688;0.012704447;-0.974591106;0.406173;49.3;6.19208;;;;
9.931451685;0.011043215;-0.977913571;0.405357;49.35;6.19836;;;;
10.09166603;0.00949252;-0.98101496;0.404598;49.4;6.20464;;;;
10.26630685;0.008054089;-0.983891822;0.403896;49.45;6.21092;;;;
10.45791471;0.006729539;-0.986540921;0.403251;49.5;6.2172;;;;
10.66979201;0.005520374;-0.988959251;0.402664;49.55;6.22348;;;;
10.9063429;0.004427978;-0.991144043;0.402134;49.6;6.22976;;;;
11.17362681;0.003453611;-0.993092777;0.401663;49.65;6.23604;;;;
11.48030996;0.002598405;-0.99480319;0.401250;49.7;6.24232;;;;
11.83941709;0.001863359;-0.996273281;0.400896;49.75;6.2486;;;;
12.27185709;0.001249338;-0.997501324;0.400600;49.8;6.25488;;;;
12.81443985;0.000757065;-0.998485869;0.400364;49.85;6.26116;;;;
13.54168132;0.000387125;-0.99922575;0.400186;49.9;6.26744;;;;
14.64568621;0.000139956;-0.999720088;0.400067;49.95;6.27372;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
