,h,A
0,-88.77826952360397,
1,-88.59948700448645,
2,-88.42070448536892,
3,-88.2419219662514,
4,-88.06313944713388,
5,-87.88435692801636,
6,-87.70557440889884,
7,-87.52679188978131,
8,-87.34800937066379,
9,-87.16922685154627,
10,-86.99044433242875,
11,-86.81166181331122,
12,-86.6328792941937,
13,-86.45409677507618,
14,-86.27531425595866,
15,-86.09653173684114,
16,-85.91774921772361,
17,-85.73896669860609,
18,-85.56018417948857,
19,-85.38140166037105,
20,-85.20261914125352,
21,-85.023836622136,
22,-84.84505410301848,
23,-84.66627158390096,
24,-84.48748906478345,
25,-84.30870654566591,
26,-84.1299240265484,
27,-83.95114150743088,
28,-83.77235898831336,
29,-83.59357646919582,
30,-83.4147939500783,
31,-83.23601143096079,
32,-83.05722891184327,
33,-82.87844639272575,
34,-82.69966387360822,
35,-82.5208813544907,
36,-82.34209883537318,
37,-82.16331631625566,
38,-81.98453379713813,
39,-81.80575127802061,
40,-81.62696875890309,
41,-81.44818623978557,
42,-81.26940372066805,
43,-81.09062120155052,
44,-80.911838682433,
45,-80.73305616331547,
46,-80.55427364419795,
47,-80.37549112508042,
48,-80.1967086059629,
49,-80.01792608684538,
50,-79.83914356772786,
51,-79.66036104861034,
52,-79.48157852949281,
53,-79.30279601037529,
54,-79.12401349125777,
55,-78.94523097214025,
56,-78.76644845302272,
57,-78.5876659339052,
58,-78.40888341478768,
59,-78.23010089567016,
60,-78.05131837655264,
61,-77.87253585743511,
62,-77.69375333831759,
63,-77.51497081920007,
64,-77.33618830008255,
65,-77.15740578096502,
66,-76.9786232618475,
67,-76.79984074272998,
68,-76.62105822361247,
69,-76.44227570449495,
70,-76.26349318537741,
71,-76.0847106662599,
72,-75.90592814714238,
73,-75.72714562802486,
74,-75.54836310890732,
75,-75.3695805897898,
76,-75.19079807067229,
77,-75.01201555155477,
78,-74.83323303243725,
79,-74.65445051331972,
80,-74.4756679942022,
81,-74.29688547508468,
82,-74.11810295596716,
83,-73.93932043684963,
84,-73.76053791773211,
85,-73.58175539861459,
86,-73.40297287949707,
87,-73.22419036037954,
88,-73.04540784126202,
89,-72.8666253221445,
90,-72.68784280302698,
91,-72.50906028390946,
92,-72.33027776479193,
93,-72.15149524567441,
94,-71.97271272655689,
95,-71.79393020743937,
96,-71.61514768832184,
97,-71.43636516920432,
98,-71.2575826500868,
99,-71.07880013096928,
100,-70.90001761185177,
101,-70.72123509273423,
